2002.29 0.00
2002.35 66.22
2002.62 -169.61
2002.71 179.38
2002.79 39.72
2002.87 -74.15
2002.96 -42.30
2003.04 -243.00
2003.12 -163.73
2003.20 -233.19
2003.29 -134.70
2003.36 -18.94
2003.54 -129.97
2003.62 -108.26
2003.71 -38.78
2003.79 -72.68
2003.87 -98.20
2003.96 -76.70
2004.02 -213.58
2004.13 -600.38
2004.21 -314.89
2004.29 -405.74
2004.37 -90.98
2004.46 -89.88
2004.54 -322.50
2004.62 -351.72
2004.71 -278.59
2004.79 86.13
2004.87 -174.49
2004.96 -225.60
2005.04 -316.99
2005.12 -374.93
2005.20 -358.97
2005.29 -272.86
2005.37 -281.50
2005.46 -191.01
2005.54 -119.96
2005.62 -334.77
2005.71 -102.96
2005.79 -115.63
2005.87 -90.77
2005.96 -131.86
2006.04 -310.88
2006.12 -337.76
2006.20 -294.35
2006.29 -303.21
2006.37 -171.01
2006.45 -148.04
2006.54 -188.59
2006.62 6.51
2006.71 -3.71
2006.79 -66.25
2006.87 -155.10
2006.96 -241.10
2007.04 -449.31
2007.12 -422.94
2007.20 -452.62
2007.29 -349.88
2007.37 -63.14
2007.45 -262.08
2007.54 -289.90
2007.62 -214.50
2007.71 -188.82
2007.79 -365.17
2007.87 -459.86
2007.96 -463.30
2008.04 -709.52
2008.12 -669.16
2008.21 -655.97
2008.29 -511.05
2008.37 -511.63
2008.46 -476.51
2008.54 -757.30
2008.62 -812.45
2008.71 -532.44
2008.79 -530.94
2008.87 -469.36
2008.96 -565.27
2009.04 -676.08
2009.12 -635.30
2009.20 -587.24
2009.29 -572.32
2009.37 -563.23
2009.46 -561.75
2009.54 -538.92
2009.62 -544.66
2009.71 -536.41
2009.79 -540.57
2009.87 -579.22
2009.96 -580.83
2010.04 -841.22
2010.12 -666.95
2010.20 -616.30
2010.29 -698.70
2010.37 -720.37
2010.45 -801.20
2010.54 -1062.50
2010.62 -945.17
2010.71 -831.79
2010.79 -924.63
2010.87 -920.51
2010.96 -783.97
2011.13 -1026.55
2011.20 -1080.86
2011.29 -1131.65
2011.37 -1010.17
2011.55 -1029.31
2011.62 -945.75
2011.71 -819.77
2011.79 -906.55
2011.83 -603.50
2012.00 -941.42
2012.04 -1059.32
2012.12 -1081.60
2012.21 -1020.19
2012.27 -1039.17
2012.46 -1020.21
2012.54 -1188.31
2012.62 -979.89
2012.70 -728.74
2012.89 -804.92
2012.96 -989.01
2013.04 -1215.15
2013.12 -1323.72
2013.30 -1111.77
2013.37 -988.88
2013.46 -983.87
2013.54 -1077.79
2013.79 -1060.77
2013.87 -1207.44
2013.96 -1155.68
2014.02 -1421.03
2014.21 -1603.40
2014.29 -1379.76
2014.37 -1246.26
2014.45 -1472.93
2014.62 -1525.72
2014.71 -1245.80
2014.79 -1372.65
2014.88 -1312.98
2015.06 -1680.39
2015.12 -1692.71
2015.20 -1800.97
2015.29 -1818.54
2015.32 -1727.44
2015.53 -1855.70
2015.62 -1924.04
2015.70 -1767.49
2015.97 -1627.37
2016.04 -1594.66
2016.12 -1671.97
2016.21 -1508.30
2016.38 -1747.09
2016.46 -1595.18
2016.54 -1721.31
2016.64 -1747.16
2016.91 -1405.43
2016.98 -1813.63
2017.06 -1915.45
2017.25 -1854.70
2017.31 -1262.90
2017.36 -1648.82
2017.44 -1869.99
